;; -*- coding: utf-8-mcs-er -*-
M-17575 	&I-M-17575;	⿰氵咅
M-17701 	&I-M-17701;	⿰氵芷
M-17702 	&C6-4130;	
M-17703 	&M-17703;	
M-17704 	&M-17704;	
M-17705 	&I-M-17705;	
M-17706 	&I-M-17706;	⿱金水
M-17707 	&I-M-17707;	
M-17708 	&I-M-17708;	⿰氵帛
M-17709 	&I-M-17709;	
M-17710 	&M-17710;	
M-17711 	&C6-413E;	
M-17712 	&M-17712;	亻口𫶧水
M-17713 	&I-M-17713;	
M-17714 	&I-M-17714;	⿰氵奔
M-17715 	&I-M-17715;	
M-17716 	&M-17716;	
M-17717 	&M-17717;	
M-17718 	&I-M-17718;	
M-17719 	&I-M-17719;	⿰氵⿱水水
M-17720 	&M-17720;	
M-17721 	&I-M-17721;	
M-17722 	&M-17722;	⿰氵旻
M-17723 	&M-17723;	
M-17724 	&M-17724;	
M-17725 	&I-M-17725;	
M-17726 	&C3-367B;	
M-17727 	𣶢	
M-17728 	&C6-4132;	
M-17729 	&I-M-17729;	
M-17730 	&I-M-17730;	
M-17731 	&I-M-17731;	
M-17732 	&I-M-17732;	
M-17733 	&I-M-17733;	
M-17734 	&I-M-17734;	
M-17735 	&I-M-17735;	
M-17736 	&I-M-17736;	
M-17737 	&I-M-17737;	
M-17738 	&I-M-17738;	
M-17739 	&I-M-17739;	
M-17740 	&I-M-17740;	
M-17741 	&I-M-17741;	
M-17742 	&I-M-17742;	
M-17743 	&I-M-17743;	⿲氵并刂
M-17744 	&I-M-17744;	⿰氵⿰屰刂
M-17745 	&I-M-17745;	
M-17746 	&M-17746;	
M-17747 	&I-M-17747;	⿰氵忠
M-17748 	&I-M-17748;	⿰氵⿱日⿹勹匕
M-17749 	&I-M-17749;	⿰氵⿱文&CDP-89C6;
M-17749'	渉	
M-17750 	&I-M-17750;	⿰氵⿻&CDP-8BF5;米
M-17750'	渋	⿰氵⿱止&CDP-89AE;
M-17751 	&I-M-17751;	⿰氵⿳十⺾兀
M-17752 	&I-M-17752;	⿰氵陌
M-17753 	&I-M-17753;	⿰氵若
M-17754 	&M-17754;	
M-17755 	&I-M-17755;	⿰氵柔
M-17756 	&I-M-17756;	⿰氵⿳&CDP-88E1;一厶
M-17757 	&I-M-17757;	
M-17758 	&I-M-17758;	
M-17759 	&I-M-17759;	⿰氵咸
M-17760 	&I-M-17760;	⿰氵耎
M-17761 	&I-M-17761;	
M-17762 	&I-M-17762;	⿰氵首
M-17763 	&I-M-17763;	⿰氵&g2-AJ1-03070;
M-17764 	&MJ015546;	⿱洰木
M-17765 	&I-M-17765;	⿰氵度
M-17766 	&I-M-17766;	⿰氵風
M-17767 	&I-M-17767;	
M-17768 	&M-17768;	
M-17769 	&I-M-17769;	⿰氵勃
M-17770 	&I-M-17770;	⿰氵屋
M-17771 	&I-M-17771;	
M-17772 	&I-M-17772;	
M-17773 	&I-M-17773;	⿰氵畏
M-17774 	&I-M-17774;	⿰氵昷
M-17775 	&I-M-17775;	⿰氵眄
M-17776 	&I-M-17776;	⿰氵禹
M-17777 	&I-M-17777;	⿰氵⿸广屰
M-17778 	&I-M-17778;	⿰氵枼
M-17779 	&I-M-17779;	
M-17780 	&I-M-17780;	⿰氵則
M-17781 	&I-M-17781;	⿰氵胃
M-17782 	&I-M-17782;	
M-17783 	&I-M-17783;	⿰氵巷
M-17783'	港	
M-17784 	&I-M-17784;	⿰氵弇
M-17785 	&I-M-17785;	⿰氵虹
M-17786 	&I-M-17786;	⿰氵&MJ010139;
M-17787 	&M-17787;	⿰氵弭
M-17788 	&I-M-17788;	⿰氵曷
M-17789 	&I-M-17789;	⿰氵&GT-40205;
M-17790 	&MJ015576;	⿰氵&MJ021701;
M-17791 	&M-17791;	⿰氵&g2-AJ1-16792;
M-17792 	&I-M-17792;	⿰氵斿
M-17793 	&I-M-17793;	⿰氵訇
M-17794 	&I-M-17794;	⿰氵眇
M-17795 	&I-M-17795;	⿰氵省
M-17796 	&I-M-17796;	⿰氵美
M-17797 	&I-M-17797;	⿰氵哉
M-17798 	&M-17798;	
M-17799 	𣷾	
M-17800 	&I-M-17800;	⿰氵軍
M-17801 	&I-M-17801;	⿰氵思
M-17802 	&I-M-17802;	⿰氵柰
M-17803 	&I-M-17803;	⿰氵癸
M-17804 	&I-M-17804;	⿰氵拾
M-17805 	&M-17805;	
M-17806 	&I-M-17806;	⿰氵虺
M-17807 	&I-M-17807;	⿰氵咢
M-17808 	&I-M-17808;	⿰氵拜
M-17809 	&I-M-17809;	⿰氵眉
M-17810 	&I-M-17810;	⿰氵柬
M-17811 	&M-17811;	⿰氵音
M-17812 	&M-17812;	⿰氵⿱立月
M-17813 	&I-M-17813;	⿰氵⿹聿彡
M-17814 	&I-M-17814;	⿰氵⿹式八
M-17815 	&I-M-17815;	⿰氵某
M-17816 	&I-M-17816;	⿰氵急
M-17817 	&M-17817;	
M-17818 	&I-M-17818;	⿰氵⿱⺿禾
M-17819 	&I-M-17819;	⿰氵昝
M-17820 	&I-M-17820;	⿰氵括
M-17821 	&I-M-17821;	⿰氵恬
M-17822 	&I-M-17822;	
M-17823 	&I-M-17823;	⿰氵韋
M-17824 	&I-M-17824;	⿰氵&GT-59026;
M-17825 	&I-M-17825;	⿰氵耑
M-17826 	&I-M-17826;	⿰氵面
M-17827 	&I-M-17827;	⿰氵頁
M-17828 	&I-M-17828;	⿰氵柏
M-17829 	&I-M-17829;	⿰氵胥
M-17830 	&I-M-17830;	
M-17831 	湒	⿰氵咠
M-17832 	&I-M-17832;	
M-17833 	&I-M-17833;	
M-17834 	&M-17834;	
M-17835 	&I-M-17835;	
M-17836 	&I-M-17836;	⿰氵胡
M-17837 	&I-M-17837;	⿰氵封
M-17838 	&I-M-17838;	⿰氵革
M-17839 	𣸈	
M-17840 	&M-17840;	⿰氵要
M-17841 	&I-M-17841;	⿰氵𦍒
M-17842 	&I-M-17842;	⿰氵相
M-17843 	&M-17843;	⿰氵奕
M-17844 	&I-M-17844;	⿰氵畎
M-17845 	&M-17845;	⿰氵胤
M-17846 	&I-M-17846;	⿰氵&AJ1-02585;
M-17847 	&I-M-17847;	⿰氵是
M-17848 	&I-M-17848;	⿰氵皆
M-17849 	&I-M-17849;	⿰氵貞
M-17850 	&I-M-17850;	⿰氵皇
M-17851 	&M-17851;	⿰氵炭
M-17852 	&I-M-17852;	⿰氵禺
M-17853 	&I-M-17853;	⿰氵畐
M-17854 	&I-M-17854;	⿰氵⿱民日
M-17855 	&M-17855;	
M-17856 	&M-17856;	⿰氵突
M-17857 	&M-17857;	
M-17858 	&M-17858;	
M-17859 	&M-17859;	
M-17860 	&I-M-17860;	⿰氵星
M-17861 	&I-M-17861;	⿰氵冒
M-17862 	&I-M-17862;	
M-17863 	&I-M-17863;	⿰氵狊
M-17864 	&I-M-17864;	⿰氵重
M-17865 	&M-17865;	⿰氵臿
M-17866 	&M-17866;	⿰氵&MJ011233;
M-17867 	&I-M-17867;	⿰氵秋
M-17868 	&M-17868;	⿱秋水
M-17869 	&M-17869;	
M-17870 	&M-17870;	
M-17871 	&I-M-17871;	⿰氵㕟
M-17872 	&M-17872;	
M-17873 	&I-M-17873;	
M-17874 	&I-M-17874;	⿰氵昜
M-17875 	&I-M-17875;	⿰氵&HD-IA-2D6B;
M-17876 	&M-17876;	
M-17877 	&I-M-17877;	
M-17878 	&I-M-17878;	⿰氵南
M-17879 	&I-M-17879;	
M-17880 	&I-M-17880;	⿰氵拏
M-17881 	&I-M-17881;	⿰水砅
M-17882 	&I-M-17882;	⿰氵致
M-17883 	&I-M-17883;	⿰氵⿳木一木
M-17884 	&I-M-17884;	⿰氵羑
M-17885 	&M-17885;	
M-17886 	&I-M-17886;	⿰氵⿱厽&GT-39640;
M-17887 	&I-M-17887;	⿰氵⿸戶示
M-17888 	&I-M-17888;	⿱井泉
M-17889 	&I-M-17889;	⿰氵⿱夭𢆉
M-17890 	&I-M-17890;	
M-17891 	&M-17891;	
M-17892 	&I-M-17892;	⿰氵泉
M-17893 	&I-M-17893;	
M-17894 	&I-M-17894;	⿰氵&MJ012121;
M-17895 	&I-M-17895;	⿲氵虫也
M-17896 	&M-17896;	
M-17897 	&I-M-17897;	⿰氵盼
M-17898 	&M-17898;	
M-17899 	&I-M-17899;	⿰氵&AJ1-02399;
M-17900 	&M-17900;	
M-17901 	&I-M-17901;	⿲氵⿱巛歹刂
M-17902 	&I-M-17902;	⿲氵幺列
M-17903 	&I-M-17903;	
M-17904 	&I-M-17904;	⿰氵⿱土米
M-17905 	&I-M-17905;	
M-17906 	&M-17906;	⿰氵亮
M-17907 	&I-M-17907;	⿰氵⿱向廾
M-17908 	&I-M-17908;	⿰氵厘
M-17909 	&I-M-17909;	⿰氵保
M-17910 	&M-17910;	
M-17911 	&I-M-17911;	⿰氵⿱水皿
M-17912 	&I-M-17912;	
M-17913 	&I-M-17913;	⿰氵&g2-AJ1-21082;
M-17914 	&I-M-17914;	⿰氵垔
M-17915 	&I-M-17915;	
M-17916 	&I-M-17916;	⿰氵⿳⿰弓弓一八
M-17917 	&I-M-17917;	⿰氵&CDP-8DB4;
M-17918 	&I-M-17918;	⿰氵甾
M-17919 	&I-M-17919;	⿰氵⿱太皿
M-17919'	滋	⿰氵兹
M-17920 	&I-M-17920;	⿰氵弯
M-17920'	湿	⿰氵显
M-17921 	&M-17921;	
M-17921'	満	
M-17922 	&I-M-17922;	⿰氵晉
M-17923 	&I-M-17923;	⿰氵桂
M-17924 	&M-17924;	⿰氵&JSP-6657;
M-17925 	&I-M-17925;	⿰氵&MJ008325;
M-17926 	&I-M-17926;	⿰氵原
M-17927 	&M-17927;	
M-17928 	&I-M-17928;	⿰氵袁
M-17929 	&I-M-17929;	
M-17930 	&I-M-17930;	⿰氵羔
M-17931 	&M-17931;	
M-17932 	&M-17932;	⿰氵冡
M-17933 	&M-17933;	⿰氵&g2-MJ007342;
M-17934 	&I-M-17934;	⿱淮十
M-17935 	&I-M-17935;	⿰氵乘
M-17936 	&I-M-17936;	⿰氵盍
M-17937 	&I-M-17937;	⿰氵泰
M-17938 	&I-M-17938;	⿰氵貢
M-17939 	&M-17939;	⿰氵宮
M-17940 	&I-M-17940;	⿰氵冤
M-17941 	&I-M-17941;	
M-17942 	&M-17942;	⿰氵窊
M-17943 	&I-M-17943;	⿰氵留
M-17944 	&I-M-17944;	
M-17945 	&I-M-17945;	⿰氵蚤
M-17946 	&I-M-17946;	⿰氵耆
M-17947 	&I-M-17947;	⿰氵&g2-AJ1-03785;
M-17948 	&I-M-17948;	⿰氵差
M-17949 	&I-M-17949;	⿰氵時
M-17950 	&I-M-17950;	⿰氵圅
M-17951 	&I-M-17951;	
M-17952 	&I-M-17952;	⿰氵⿱刕止
M-17953 	&I-M-17953;	⿰氵息
M-17954 	&I-M-17954;	⿰氵挐
M-17955 	&I-M-17955;	⿰氵倫
M-17956 	&I-M-17956;	⿰氵馬
M-17957 	&I-M-17957;	⿰氵尃
M-17958 	&M-17958;	
M-17959 	&I-M-17959;	
M-17960 	&I-M-17960;	⿰氵栗
M-17961 	&M-17961;	
M-17962 	&I-M-17962;	⿰氵栽
M-17963 	&I-M-17963;	⿰氵邕
M-17964 	&I-M-17964;	⿰氵烏
M-17965 	&I-M-17965;	⿰氵臬
M-17966 	&I-M-17966;	⿰氵郡
M-17967 	&I-M-17967;	
M-17968 	&I-M-17968;	⿰氵𥁕
M-17969 	&M-17969;	
M-17970 	&I-M-17970;	⿰氵⿷羌厶
M-17971 	&I-M-17971;	⿰氵畟
M-17972 	&I-M-17972;	⿰氵師
M-17973 	&M-17973;	
M-17974 	&I-M-17974;	⿰氵射
M-17975 	&I-M-17975;	⿰氵朔
M-17976 	&I-M-17976;	⿰氵豈
M-17977 	&M-17977;	
M-17978 	&I-M-17978;	⿰氵&AJ1-02567;
M-17979 	&I-M-17979;	⿰氵叟
M-17980 	&I-M-17980;	⿰氵員
M-17981 	&I-M-17981;	⿰氵臭
M-17982 	&I-M-17982;	⿰氵殷
M-17983 	&I-M-17983;	⿰氵容
M-17984 	&I-M-17984;	⿰氵脅
M-17985 	&M-17985;	
M-17986 	&I-M-17986;	⿰氵圂
M-17987 	&I-M-17987;	⿰氵素
M-17988 	㴭	
M-17989 	&I-M-17989;	⿰氵索
M-17990 	&I-M-17990;	
M-17991 	&I-M-17991;	
M-17992 	&I-M-17992;	⿰氵⿱⿱一⿰幺幺土
M-17993 	&M-17993;	
M-17994 	&I-M-17994;	⿰氵脂
M-17995 	&M-17995;	
M-17996 	&I-M-17996;	⿰氵辱
M-17997 	&I-M-17997;	⿰氵鬼
M-17998 	&I-M-17998;	
M-17999 	&I-M-17999;	⿰氵畜
M-18000 	&M-18000;	⿰⿱&CDP-8D44;水&MJ014908;
M-18001 	&I-M-18001;	⿰氵能
M-18002 	&I-M-18002;	⿰氵除
M-18003 	&I-M-18003;	⿰氵旁
M-18004 	&I-M-18004;	
M-18005 	&M-18005;	
M-18006 	&M-18006;	
M-18007 	&I-M-18007;	
M-18008 	&I-M-18008;	⿰氵&JSP-495C;
M-18009 	&M-18009;	
M-18010 	&I-M-18010;	
M-18011 	&C4-3E3C;	⿰氵虒
M-18012 	&M-18012;	⿰氵⿱囟比
M-18013 	&M-18013;	
M-18014 	&M-18014;	
M-18015 	&I-M-18015;	
M-18016 	&M-18016;	⿰氵⿱旬&g2-MJ007278;
M-18017 	&I-M-18017;	⿰氵晃
M-18018 	&I-M-18018;	
M-18019 	&I-M-18019;	⿰氵氣
M-18020 	&M-18020;	⿰氵⿱⿺𠃊火⿺𠃊火
M-18021 	&I-M-18021;	
M-18022 	&M-18022;	⿰氵欱
M-18023 	&I-M-18023;	⿰氵⿱必皿
M-18024 	&M-18024;	
M-18025 	&I-M-18025;	⿰氵蚩
M-18026 	&I-M-18026;	⿱𤇾水
M-18027 	&I-M-18027;	⿰氵釜
M-18028 	&I-M-18028;	⿰氵耽
M-18029 	&M-18029;	⿰氵桀
M-18030 	&M-18030;	
M-18031 	&M-18031;	⿰氵閃
M-18032 	&I-M-18032;	
M-18033 	&M-18033;	⿰氵哥
M-18034 	&I-M-18034;	⿰氵宰
M-18035 	&I-M-18035;	
M-18036 	&I-M-18036;	
M-18037 	&M-18037;	
M-18038 	&I-M-18038;	⿰氵眚
M-18039 	&I-M-18039;	⿰氵⿱山耴
M-18040 	&I-M-18040;	
M-18041 	&I-M-18041;	⿰氵⿱甫巾
M-18042 	&M-18042;	
M-18043 	&M-18043;	
M-18044 	&M-18044;	⿰氵⿳口巛水
M-18045 	&M-18045;	⿰氵衰
M-18046 	&M-18046;	⿱白泉
M-18047 	&I-M-18047;	⿰洱冄
M-18048 	&I-M-18048;	⿰氵⿱⺮毛
M-18049 	&I-M-18049;	
M-18050 	&M-18050;	
M-18051 	&M-18051;	
M-18052 	&I-M-18052;	⿰氵⿴囗⿱止夕
M-18053 	&I-M-18053;	⿰氵⿵戌月
M-18054 	&I-M-18054;	⿰氵⿰米&MJ014908;
M-18055 	&I-M-18055;	⿰氵⿱⺮尹
M-18056 	&I-M-18056;	
M-18057 	&M-18057;	
M-18058 	&M-18058;	
M-18059 	&M-18059;	⿰氵⿳⺳工口
M-18060 	&M-18060;	⿰氵唇
M-18061 	&I-M-18061;	⿰氵羕
M-18062 	&I-M-18062;	
M-18063 	滚	⿰氵衮
M-18064 	&I-M-18064;	⿰氵⿱厽&CDP-89C6;
M-18065 	&M-18065;	
M-18066 	&I-M-18066;	⿰氵皋
M-18067 	&I-M-18067;	⿰氵竜
M-18067'	&AJ1-02874;	
M-18068 	&I-M-18068;	
M-18068'	&AJ1-01533;	
M-18069 	&I-M-18069;	
M-18070 	&I-M-18070;	⿰氵⿰&CDP-8B7A;⿱攴木
M-18071 	&I-M-18071;	⿰氵脩
M-18072 	&I-M-18072;	
M-18073 	&I-M-18073;	
M-18074 	&I-M-18074;	
M-18075 	&I-M-18075;	⿰氵帶
M-18076 	&M-18076;	
M-18077 	&M-18077;	⿰氵竟
M-18078 	&I-M-18078;	
M-18079 	&M-18079;	
M-18080 	&M-18080;	
M-18081 	&I-M-18081;	⿰氵參
M-18082 	&I-M-18082;	
M-18083 	&M-18083;	⿰氵商
M-18084 	&I-M-18084;	
M-18085 	&I-M-18085;	
M-18086 	&M-18086;	
M-18087 	&M-18087;	⿰氵敖
M-18088 	&I-M-18088;	⿰氵鹵
M-18089 	&I-M-18089;	⿰氵許
M-18090 	&I-M-18090;	
M-18091 	&I-M-18091;	
M-18092 	&I-M-18092;	⿰氵虖
M-18093 	&I-M-18093;	⿰氵悠
M-18094 	&I-M-18094;	
M-18095 	&I-M-18095;	⿰氵産
M-18096 	&I-M-18096;	⿰氵梵
M-18097 	&I-M-18097;	
M-18098 	&I-M-18098;	
M-18099 	&I-M-18099;	⿰氵&g2-AJ1-17303;
M-18100 	&M-18100;	⿱&JSP-4630;水
M-18101 	&I-M-18101;	⿰氵魚
M-18102 	&I-M-18102;	⿰氵&AJ1-03502;
M-18103 	&M-18103;	
M-18104 	&M-18104;	
M-18105 	&I-M-18105;	⿰氵崖
M-18106 	&M-18106;	
M-18107 	&I-M-18107;	⿰氵巢
M-18108 	&I-M-18108;	⿰氵桼
M-18109 	&M-18109;	
M-18110 	&I-M-18110;	⿰氵徙
M-18111 	&M-18111;	⿰氵祭
M-18112 	&I-M-18112;	⿰氵鹿
M-18113 	&I-M-18113;	⿰氵婁
M-18114 	&I-M-18114;	
M-18115 	&I-M-18115;	⿰氵堇
M-18116 	&I-M-18116;	⿰氵國
M-18117 	&I-M-18117;	⿰氵頂
M-18118 	&I-M-18118;	⿰氵移
M-18119 	&I-M-18119;	⿰氵從
M-18120 	&I-M-18120;	⿰氵屚
M-18121 	&M-18121;	
M-18122 	&I-M-18122;	⿱執水
M-18123 	&C3-4764;	⿰氵旣
M-18124 	&I-M-18124;	⿰氵强
M-18125 	&I-M-18125;	
M-18126 	&I-M-18126;	
M-18127 	&I-M-18127;	⿰氵&JX2-726E;
M-18128 	&I-M-18128;	
M-18129 	&I-M-18129;	
M-18130 	&I-M-18130;	⿰氵&AJ1-03242;
M-18131 	&I-M-18131;	⿰氵曹
M-18132 	&I-M-18132;	⿰氵教
M-18133 	&I-M-18133;	
M-18134 	&M-18134;	⿰氵&CDP-8BDD;
M-18135 	&I-M-18135;	⿰氵脣
M-18136 	&I-M-18136;	⿰氵專
M-18137 	&I-M-18137;	⿰氵畤
M-18138 	&M-18138;	
M-18139 	&I-M-18139;	⿰氵區
M-18140 	&I-M-18140;	
M-18141 	&M-18141;	
M-18142 	&I-M-18142;	⿰氵⿵戊臣
M-18143 	&M-18143;	
M-18144 	&I-M-18144;	⿰氵埜
M-18145 	&I-M-18145;	⿰氵斜
M-18146 	&M-18146;	
M-18147 	&I-M-18147;	⿰氵覓
M-18148 	&I-M-18148;	⿰氵堂
M-18149 	&MJ015839;	⿰氵&C1-5C7B;
M-18150 	&I-M-18150;	
M-18151 	&I-M-18151;	⿰氵&CDP-8CBE;
M-18152 	&M-18152;	
M-18153 	&I-M-18153;	⿰氵&CDP-8BD3;
M-18154 	&I-M-18154;	
M-18155 	&I-M-18155;	
M-18156 	&I-M-18156;	⿰氵婪
M-18157 	&I-M-18157;	
M-18158 	&I-M-18158;	
M-18159 	&M-18159;	
M-18160 	&I-M-18160;	⿸𠩺水
M-18161 	&I-M-18161;	⿰氵乾
M-18162 	&M-18162;	
M-18163 	&I-M-18163;	⿰氵旋
M-18164 	&I-M-18164;	⿰氵猗
M-18165 	&M-18165;	
M-18166 	&I-M-18166;	⿰氵曼
M-18167 	&I-M-18167;	⿰氵責
M-18168 	&M-18168;	⿰氵康
M-18169 	&I-M-18169;	
M-18170 	&I-M-18170;	⿰氵崩
M-18171 	&I-M-18171;	⿰氵欶
M-18172 	&I-M-18172;	⿰氵敕
M-18173 	&I-M-18173;	⿰氵張
M-18174 	&I-M-18174;	
M-18175 	&M-18175;	⿰氵崇
M-18176 	&I-M-18176;	⿰氵敘
M-18177 	&I-M-18177;	⿰氵患
M-18178 	&I-M-18178;	⿰氵郭
M-18179 	&I-M-18179;	⿰氵斬
M-18180 	&I-M-18180;	⿰氵焉
M-18181 	&I-M-18181;	⿰氵爽
M-18182 	&I-M-18182;	
M-18183 	&I-M-18183;	
M-18184 	&I-M-18184;	⿰氵羕
M-18185 	&I-M-18185;	⿱將水
M-18186 	&M-18186;	
M-18187 	&I-M-18187;	
M-18188 	&I-M-18188;	⿰⿱匕水頁
M-18189 	&M-18189;	
M-18190 	&I-M-18190;	⿰氵⿱𦥑日
M-18191 	&I-M-18191;	⿰氵酓
M-18192 	&I-M-18192;	⿰氵捻
M-18193 	&I-M-18193;	⿰氵⿱尾水
M-18194 	&I-M-18194;	⿰汨告
M-18195 	&I-M-18195;	
M-18196 	&I-M-18196;	⿰氵赦
M-18197 	&M-18197;	
M-18198 	&I-M-18198;	⿰氵⿱山並
M-18199 	&I-M-18199;	⿰氵⿱癶米
M-18200 	&I-M-18200;	⿰氵⿱刕皿
M-18201 	&I-M-18201;	⿰泉⿱山山
M-18202 	&I-M-18202;	⿲氵彳⿱攵月
M-18203 	&M-18203;	
M-18204 	&I-M-18204;	⿰氵晝
M-18205 	&I-M-18205;	⿰氵⿱𠀐回
M-18206 	&I-M-18206;	⿰氵⿱雨于
M-18207 	&M-18207;	
M-18208 	&M-18208;	
M-18209 	&I-M-18209;	
M-18210 	&I-M-18210;	
M-18211 	&M-18211;	
M-18212 	&M-18212;	
M-18213 	&M-18213;	
M-18214 	&I-M-18214;	
M-18215 	&M-18215;	
M-18216 	&I-M-18216;	⿰氵⿱𠂉⿸&CDP-88F1;&CDP-8965;
M-18217 	&I-M-18217;	⿰氵隆
M-18218 	&M-18218;	
M-18219 	&M-18219;	
M-18220 	&M-18220;	
M-18221 	&I-M-18221;	
M-18222 	&M-18222;	
M-18223 	&M-18223;	⿰氵焦
M-18224 	&M-18224;	
M-18225 	&I-M-18225;	⿰氵&AJ1-05785;
M-18226 	&I-M-18226;	⿰氵象
M-18227 	&C3-4C6E;	
M-18228 	&I-M-18228;	⿰氵惠
M-18229 	㵋	
M-18230 	&I-M-18230;	
M-18231 	&MJ015896;	
M-18232 	&I-M-18232;	⿰氵無
M-18233 	&M-18233;	
M-18234 	&I-M-18234;	⿰氵琶
M-18235 	&I-M-18235;	⿰氵集
M-18236 	&I-M-18236;	⿰氵番
M-18237 	&M-18237;	
M-18238 	&I-M-18238;	
M-18239 	&I-M-18239;	⿰氵肅
M-18240 	&I-M-18240;	
M-18241 	&I-M-18241;	⿰氵替
M-18242 	&I-M-18242;	
